30,St. Johns Library,The World of Wildwood
11,Bird Alliance of Oregon,Heart of the Forest
7,Pittock Mansion,On a Mission
22,International Rose Test Garden,Sir Timber Cawthorne
12,OHSU Knight Cancer Research Building,Stash
15,OMSI,A Murder Huddle
26,Lan SU Chinese Garden,Sir Chester
27,North Park Blocks,Vuela Corazon
,North Park Blocks,Rainbow trout bike
1,Car Wash Fountain,Be Kind
,Car Wash Fountain,Bikes
23,Ankeny Alley (Voodoo Donuts),Do-nuts for Portland
29,Yamhill Pedestrian Plaza (SW 1st & Yamhill),Watercolor Crow
19,Tom McCall Waterfront Park (SW Clay),DUSK
20,Tom McCall Waterfront Park (Salmon Springs),Emergence
14,Tom McCall Waterfront Park (Burnside Bridge),Iridescence
13,N Broadway & N Flint,Back Alley Flora
25,Jamison Square,Freak'n Crow
28,Couch Park,Midnight Crow
18,Lincoln High School,A Crow of a Different Color
9,Park Blocks,Feather and Flowers
24,Keller Fountain,Kindred Spirits
17,City Hall,Sakura Hanami
2,Main Street Plaza,Oregon Botanica
4,Portland Art Museum East Plaza,Bloom
8,Central Library,As the Crow Flies
5,Director Park,Flying Fields Forever
6,Pioneer Courthouse Square,Overgrowth
16,Darcelle XV Plaza,Mirrorball Messenger
21,Pod Plaza,The Shape of Us
3,Pride Plaza SW Harvey Milk,Paul Birdyan
10,NW 13th Ave & NW Everett,Ravel
